ay,need,setting,expectation,normalisation-constant,alpha
-2,SP,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,OOE,0.1251531862745098,64.0,8.009803921568627
-2,UKN,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,EYS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MMSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MSSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,UKN,OOE,1.5318627450980392E-4,64.0,0.00980392156862745
-1,CI,EO,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,EYS,0.06140984000962346,163.00000000000006,10.009803921568627
-1,CI,IMS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,ISS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,ISSR,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,MMS,0.11048959461085045,163.00000000000006,18.00980392156863
-1,CI,MMSIB,0.35588836761698533,163.00000000000006,58.009803921568626
-1,CI,MMSOB,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,MSS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,MSSIB,0.03686996270900997,163.00000000000006,6.009803921568627
-1,CI,MSSOB,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,MSSOP,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,MU,0.018465054733549854,163.00000000000006,3.0098039215686274
-1,CI,MUOB,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,NMSS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,NMSSR,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CI,OOE,0.012330085408396483,163.00000000000006,2.0098039215686274
-1,CL,EO,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,EYS,0.018465054733549854,163.00000000000006,3.0098039215686274
-1,CL,IMS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,ISS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,ISSR,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,MMS,0.018465054733549854,163.00000000000006,3.0098039215686274
-1,CL,MMSIB,0.09208468663539032,163.00000000000006,15.009803921568627
-1,CL,MMSOB,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,MSS,6.014675808973894E-5,163.00000000000006,0.00980392156862745
-1,CL,MSSIB,0.049139901359316715,163.00000000000006,8.009803921568627
-1,CL,MSSOB,6.014675808973894E-5,163.00000000000006,0.00980392156862745
