calendar-year,academic-year,need,setting,population
2017,3,W,E,0.0
2017,3,W,F,0.0
2017,3,W,G,0.0
2017,3,W,H,0.0
2017,3,W,I,0.0
2017,3,W,J,0.0
2017,3,W,K,0.0
2017,3,W,L,0.0
2017,3,W,O,0.0
2017,3,W,R,0.0
2017,3,X,A,3.0
2017,3,X,B,7.0
2017,3,X,E,0.0
2017,3,X,F,0.0
2017,3,X,G,0.0
2017,3,X,H,0.0
2017,3,X,I,2.0
2017,3,X,J,0.0
2017,3,X,K,0.0
2017,3,X,L,2.0
2017,3,X,O,0.0
2017,3,X,R,0.0
2017,3,Y,A,3.0
2017,3,Y,B,6.0
2017,3,Y,E,0.0
2017,3,Y,F,11.0
2017,3,Y,G,0.0
2017,3,Y,H,0.0
2017,3,Y,I,0.0
2017,3,Y,J,0.0
2017,3,Y,K,0.0
2017,3,Y,L,0.0
2017,3,Y,O,0.0
2017,3,Y,R,0.0
2017,4,T,A,23.0
2017,4,T,B,62.0
2017,4,T,E,2.0
2017,4,T,F,12.0
2017,4,T,G,0.0
2017,4,T,H,4.0
2017,4,T,I,0.0
2017,4,T,J,1.0
2017,4,T,K,1.0
2017,4,T,L,1.0
2017,4,T,O,0.0
2017,4,T,R,0.0
2017,4,U,A,11.0
2017,4,U,B,13.0
2017,4,U,E,0.0
2017,4,U,F,0.0
2017,4,U,G,0.0
2017,4,U,H,0.0
2017,4,U,I,2.0
2017,4,U,J,1.0
2017,4,U,K,0.0
2017,4,U,L,1.0
2017,4,U,O,0.0
2017,4,U,R,0.0
2017,4,V,A,0.0
2017,4,V,B,0.0
2017,4,V,E,0.0
2017,4,V,F,0.0
2017,4,V,G,0.0
2017,4,V,H,0.0
2017,4,V,I,1.0
2017,4,V,J,0.0
2017,4,V,K,0.0
2017,4,V,L,0.0
2017,4,V,O,0.0
2017,4,V,R,0.0
2017,4,W,A,0.0
2017,4,W,B,0.0
2017,4,W,E,0.0
2017,4,W,F,0.0
2017,4,W,G,0.0
2017,4,W,H,0.0
2017,4,W,I,0.0
2017,4,W,J,0.0
2017,4,W,K,0.0
2017,4,W,L,0.0
2017,4,W,O,0.0
2017,4,W,R,0.0
2017,4,X,A,3.0
2017,4,X,B,5.0
2017,4,X,E,0.0
2017,4,X,F,0.0
2017,4,X,G,0.0
2017,4,X,H,0.0
2017,4,X,I,0.0
2017,4,X,J,0.0
2017,4,X,K,0.0
2017,4,X,L,0.0
2017,4,X,O,0.0
2017,4,X,R,0.0
2017,4,Y,A,1.0
2017,4,Y,B,7.0
2017,4,Y,E,0.0
2017,4,Y,F,3.0
2017,4,Y,G,0.0
2017,4,Y,H,0.0
2017,4,Y,I,0.0
2017,4,Y,J,0.0
2017,4,Y,K,0.0
2017,4,Y,L,0.0
2017,4,Y,O,0.0
2017,4,Y,R,0.0
2017,5,T,A,24.0
2017,5,T,B,84.0
2017,5,T,E,0.0
2017,5,T,F,10.0
