calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2021,F,129.1,8.06,13.0,118.0,118.0,123.0,123.0,136.0,144.0,144.0,124.11,134.09
2021,Q,7.4,2.73,4.0,2.0,2.0,5.0,8.0,9.0,11.0,11.0,5.71,9.09
2021,P,10.8,4.4,8.0,3.0,3.0,7.0,11.0,15.0,16.0,16.0,8.07,13.53
2021,D,20.7,6.07,8.0,10.0,10.0,15.0,20.0,23.0,31.0,31.0,16.94,24.46
2021,B,1365.7,32.66,53.0,1302.0,1302.0,1339.0,1378.0,1392.0,1403.0,1403.0,1345.46,1385.94
2021,J,83.8,11.35,21.0,69.0,69.0,72.0,82.0,93.0,103.0,103.0,76.77,90.83
2021,C,8.5,2.33,2.0,3.0,3.0,8.0,9.0,10.0,11.0,11.0,7.05,9.95
2021,E,41.7,4.63,7.0,36.0,36.0,39.0,40.0,46.0,51.0,51.0,38.83,44.57
2021,G,31.9,4.39,8.0,26.0,26.0,27.0,32.0,35.0,39.0,39.0,29.18,34.62
2021,H,31.1,4.7,8.0,23.0,23.0,26.0,31.0,34.0,39.0,39.0,28.19,34.01
2021,S,68.6,7.28,14.0,56.0,56.0,61.0,69.0,75.0,81.0,81.0,64.09,73.11
2021,N,37.1,10.24,12.0,24.0,24.0,30.0,34.0,42.0,62.0,62.0,30.75,43.45
2021,K,20.5,4.94,6.0,14.0,14.0,16.0,20.0,22.0,31.0,31.0,17.44,23.56
2022,L,61.0,5.53,6.0,52.0,52.0,58.0,60.0,64.0,69.0,69.0,57.57,64.43
2022,M,1.5,0.76,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.03,1.97
2022,I,46.2,8.83,14.0,30.0,30.0,40.0,50.0,54.0,55.0,55.0,40.73,51.67
2022,R,38.9,10.39,11.0,18.0,18.0,33.0,39.0,44.0,56.0,56.0,32.46,45.34
2022,O,2.57,1.18,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.84,3.3
2022,A,484.6,11.65,13.0,459.0,459.0,480.0,484.0,493.0,504.0,504.0,477.38,491.82
2022,F,131.7,7.77,12.0,120.0,120.0,125.0,131.0,137.0,144.0,144.0,126.88,136.52
2022,Q,9.4,3.2,5.0,4.0,4.0,7.0,8.0,12.0,16.0,16.0,7.42,11.38
2022,P,8.8,3.57,3.0,5.0,5.0,6.0,7.0,9.0,16.0,16.0,6.59,11.01
2022,D,22.0,5.25,8.0,11.0,11.0,18.0,24.0,26.0,28.0,28.0,18.74,25.26
2022,B,1404.6,26.16,28.0,1362.0,1362.0,1388.0,1395.0,1416.0,1466.0,1466.0,1388.38,1420.82
2022,J,88.1,7.6,14.0,77.0,77.0,81.0,84.0,95.0,98.0,98.0,83.39,92.81
2022,C,9.1,3.42,6.0,5.0,5.0,6.0,8.0,12.0,15.0,15.0,6.98,11.22
2022,E,39.2,5.95,5.0,32.0,32.0,36.0,38.0,41.0,54.0,54.0,35.51,42.89
2022,G,31.9,5.01,8.0,22.0,22.0,28.0,32.0,36.0,38.0,38.0,28.8,35.0
2022,H,29.5,5.02,5.0,21.0,21.0,27.0,29.0,32.0,41.0,41.0,26.39,32.61
2022,S,68.6,4.22,9.0,63.0,63.0,64.0,68.0,73.0,75.0,75.0,65.98,71.22
2022,N,41.5,11.44,11.0,24.0,24.0,33.0,40.0,44.0,62.0,62.0,34.41,48.59
2022,K,21.7,5.5,8.0,14.0,14.0,19.0,19.0,27.0,33.0,33.0,18.29,25.11
