calendar-year,academic-year,need,setting,population
2017,-1,OTH,EO,0.0
2017,-1,OTH,EYS,0.0
2017,-1,OTH,IMS,0.0
2017,-1,OTH,ISS,0.0
2017,-1,OTH,ISSR,0.0
2017,-1,OTH,MMS,0.0
2017,-1,OTH,MMSIB,0.0
2017,-1,OTH,MMSOB,0.0
2017,-1,OTH,MSS,0.0
2017,-1,OTH,MSSIB,0.0
2017,-1,OTH,MSSOB,0.0
2017,-1,OTH,MSSOP,0.0
2017,-1,OTH,MU,0.0
2017,-1,OTH,MUOB,0.0
2017,-1,OTH,NMSS,0.0
2017,-1,OTH,NMSSR,0.0
2017,-1,OTH,OOE,1.0
2017,-1,SEMH,EO,0.0
2017,-1,SEMH,EYS,0.0
2017,-1,SEMH,IMS,0.0
2017,-1,SEMH,ISS,0.0
2017,-1,SEMH,ISSR,0.0
2017,-1,SEMH,MMS,0.0
2017,-1,SEMH,MMSIB,0.0
2017,-1,SEMH,MMSOB,0.0
2017,-1,SEMH,MSS,0.0
2017,-1,SEMH,MSSIB,0.0
2017,-1,SEMH,MSSOB,0.0
2017,-1,SEMH,MSSOP,0.0
2017,-1,SEMH,MU,0.0
2017,-1,SEMH,MUOB,0.0
2017,-1,SEMH,NMSS,0.0
2017,-1,SEMH,NMSSR,0.0
2017,-1,SEMH,OOE,0.0
2017,-1,SP,EO,0.0
2017,-1,SP,EYS,0.0
2017,-1,SP,IMS,0.0
2017,-1,SP,ISS,0.0
2017,-1,SP,ISSR,0.0
2017,-1,SP,MMS,1.0
2017,-1,SP,MMSIB,5.0
2017,-1,SP,MMSOB,0.0
2017,-1,SP,MSS,0.0
2017,-1,SP,MSSIB,0.0
2017,-1,SP,MSSOB,0.0
2017,-1,SP,MSSOP,0.0
2017,-1,SP,MU,4.0
2017,-1,SP,MUOB,0.0
2017,-1,SP,NMSS,0.0
2017,-1,SP,NMSSR,0.0
2017,-1,SP,OOE,1.0
2017,-1,UKN,EO,0.0
2017,-1,UKN,EYS,0.0
2017,-1,UKN,IMS,0.0
2017,-1,UKN,ISS,0.0
2017,-1,UKN,ISSR,0.0
2017,-1,UKN,MMS,0.0
2017,-1,UKN,MMSIB,0.0
2017,-1,UKN,MMSOB,0.0
2017,-1,UKN,MSS,0.0
2017,-1,UKN,MSSIB,0.0
2017,-1,UKN,MSSOB,0.0
2017,-1,UKN,MSSOP,0.0
2017,-1,UKN,MU,0.0
2017,-1,UKN,MUOB,0.0
2017,-1,UKN,NMSS,0.0
2017,-1,UKN,NMSSR,0.0
2017,-1,UKN,OOE,0.0
2017,0,CI,EO,0.0
2017,0,CI,EYS,0.0
2017,0,CI,IMS,0.0
2017,0,CI,ISS,0.0
2017,0,CI,ISSR,0.0
2017,0,CI,MMS,1.0
2017,0,CI,MMSIB,52.0
2017,0,CI,MMSOB,0.0
2017,0,CI,MSS,0.0
2017,0,CI,MSSIB,8.0
2017,0,CI,MSSOB,0.0
2017,0,CI,MSSOP,0.0
2017,0,CI,MU,5.0
2017,0,CI,MUOB,0.0
